Zip,Territory,Region
29607,SC GREENVILLE,SOUTH
7504,NJ HACKENSACK,NORTH
37172,TN NASHVILLE,CENTRAL
31701,GA ATLANTA SOUTH,SOUTH
70810,LA NEW ORLEANS,SOUTH
75652,TX DALLAS,CENTRAL
33410,FL WEST PALM BEACH,SOUTH
90503,CA LONG BEACH,WEST
16509,NY BUFFALO,EAST
30339,GA ATLANTA NORTH,SOUTH
46077,IN INDIANAPOLIS NORTH,EAST
30912,SC GREENVILLE,SOUTH
95405,CA SAN FRANCISCO EAST,WEST
74145,OK OKLAHOMA CITY,CENTRAL
39813,GA ATLANTA SOUTH,SOUTH
89434,CA SACRAMENTO,WEST
30180,GA ATLANTA SOUTH,SOUTH
75204,TX DALLAS,CENTRAL
75093,TX IRVING,CENTRAL
23114,VA ALEXANDRIA,EAST
37604,NC CHARLOTTE,SOUTH
6105,CT HARTFORD,EAST
45177,KY LOUISVILLE,EAST
31321,FL JACKSONVILLE,SOUTH
20109,VA ALEXANDRIA,EAST
77094,TX HOUSTON NORTH,CENTRAL
92134,CA SAN DIEGO,WEST
19713,PA PHILADELPHIA SOUTH,NORTH
92399,CA RIVERSIDE,WEST
86301,AZ ARIZONA,WEST
92860,CA RIVERSIDE,WEST
90095,CA LONG BEACH,WEST
79106,TX EL PASO,CENTRAL
37663,TN KNOXVILLE,CENTRAL
94110,CA SAN FRANCISCO EAST,WEST
32080,FL JACKSONVILLE,SOUTH
43203,PA PITTSBURGH,EAST
45036,KY LOUISVILLE,EAST
15206,PA PITTSBURGH,EAST
21093,MD BETHESDA SOUTH,EAST
31602,FL TALLAHASSEE,SOUTH
38139,TN NASHVILLE,CENTRAL
14048,NY BUFFALO,EAST
28037,NC CHARLOTTE,SOUTH
21208,MD BETHESDA SOUTH,EAST
93230,CA CENTRAL,WEST
85281,AZ ARIZONA,WEST
8084,NJ SOUTHERN,NORTH
32778,FL ORLANDO,SOUTH
7746,NJ CENTRAL,NORTH
92024,CA SAN DIEGO,WEST
33805,FL TAMPA,SOUTH
15010,PA PITTSBURGH,EAST
46804,IN INDIANAPOLIS NORTH,EAST
32610,FL TALLAHASSEE,SOUTH
14226,NY BUFFALO,EAST
27607,NC RALEIGH,EAST
35233,AL BIRMINGHAM,SOUTH
33021,FL MIAMI,SOUTH
20602,MD BETHESDA SOUTH,EAST
87109,TX EL PASO,CENTRAL
32789,FL ORLANDO,SOUTH
92701,CA IRVINE,WEST
50320,MO KANSAS CITY,CENTRAL
39301,AL BIRMINGHAM,SOUTH
73034,OK OKLAHOMA CITY,CENTRAL
93304,CA CENTRAL,WEST
23113,VA ALEXANDRIA,EAST
10310,NJ NORTHERN,NORTH
93458,CA SAN JOSE,WEST
15203,PA PITTSBURGH,EAST
92262,CA RIVERSIDE,WEST
32218,FL JACKSONVILLE,SOUTH
8234,NJ SOUTHERN,NORTH
93105,CA SAN JOSE,WEST
95006,CA SAN JOSE,WEST
45458,KY LOUISVILLE,EAST
30265,GA ATLANTA SOUTH,SOUTH
2356,CT HARTFORD,EAST
75455,TX DALLAS,CENTRAL
15102,PA PITTSBURGH,EAST
22192,VA ALEXANDRIA,EAST
94040,CA SAN JOSE,WEST
18103,PA PHILADELPHIA NORTH,NORTH
44094,PA PITTSBURGH,EAST
11790,NY LONG ISLAND EAST,NORTH
19422,PA PHILADELPHIA NORTH,NORTH
78230,TX AUSTIN,CENTRAL
75701,TX DALLAS,CENTRAL
33905,FL MIAMI,SOUTH
27265,NC RALEIGH,EAST
93257,CA CENTRAL,WEST
37232,TN NASHVILLE,CENTRAL
89521,CA SACRAMENTO,WEST
15320,PA PITTSBURGH,EAST
37091,AL HUNTSVILLE,CENTRAL
29615,SC GREENVILLE,SOUTH
73104,OK OKLAHOMA CITY,CENTRAL
15545,PA PITTSBURGH,EAST
39402,LA NEW ORLEANS,SOUTH
6033,CT HARTFORD,EAST
95521,CA SAN FRANCISCO EAST,WEST
7003,NJ NORTHERN,NORTH
93306,CA CENTRAL,WEST
60616,IN INDIANAPOLIS NORTH,EAST
28602,NC CHARLOTTE,SOUTH
19111,PA PHILADELPHIA NORTH,NORTH
27858,NC RALEIGH,EAST
6511,CT BRIDGEPORT,EAST
80401,CO SOUTH,WEST
47129,KY LOUISVILLE,EAST
41701,KY LOUISVILLE,EAST
40383,KY LOUISVILLE,EAST
94520,CA SAN FRANCISCO EAST,WEST
91601,CA LOS ANGELES NORTH,WEST
48124,MI DETROIT,EAST
6382,CT HARTFORD,EAST
94592,CA SAN FRANCISCO EAST,WEST
32204,FL JACKSONVILLE,SOUTH
39440,LA NEW ORLEANS,SOUTH
23235,VA ALEXANDRIA,EAST
95630,CA SACRAMENTO,WEST
30312,GA ATLANTA SOUTH,SOUTH
92020,CA SAN DIEGO,WEST
30253,GA ATLANTA SOUTH,SOUTH
30117,GA ATLANTA SOUTH,SOUTH
92555,CA RIVERSIDE,WEST
28451,NC WILMINGTON,EAST
92111,CA SAN DIEGO,WEST
46250,IN INDIANAPOLIS NORTH,EAST
13031,NY BUFFALO,EAST
89511,CA SACRAMENTO,WEST
96021,CA SAN FRANCISCO EAST,WEST
95825,CA SACRAMENTO,WEST
66212,MO KANSAS CITY,CENTRAL
45255,KY LOUISVILLE,EAST
64132,MO KANSAS CITY,CENTRAL
37203,TN NASHVILLE,CENTRAL
30458,FL JACKSONVILLE,SOUTH
49221,MI DETROIT,EAST
95032,CA SAN JOSE,WEST
36604,LA NEW ORLEANS,SOUTH
33825,FL WEST PALM BEACH,SOUTH
16803,PA PITTSBURGH,EAST
50854,MO KANSAS CITY,CENTRAL
77072,TX HOUSTON NORTH,CENTRAL
87505,TX EL PASO,CENTRAL
79109,TX EL PASO,CENTRAL
48307,MI DETROIT,EAST
76022,TX FORT WORTH,CENTRAL
43334,PA PITTSBURGH,EAST
32308,FL TALLAHASSEE,SOUTH
75033,TX IRVING,CENTRAL
